q1,C
q2,D
q3,A
q4,B
q5,B
q6,C
q7,D
q8,A
q9,B
q10,B
q11,C
q12,D
q13,A
q14,B
q15,B
q16,C
q17,D
q18,A
q19,B
q20,B
q21,C
q22,D
q23,A
q24,B
q25,B
q26,C
q27,D
q28,A
q29,B
q30,B
q31,C
q32,D
q33,A
q34,B
q35,B
q36,C
q37,D
q38,A
q39,B
q40,B
q41,C
q42,D
q43,A
q44,B
q45,B
q46,C
q47,D
q48,A
q49,B
q50,B
q51,C
q52,D
q53,A
q54,B
q55,B
q56,C
q57,D
q58,A
q59,B
q60,B
q61,C
q62,D
q63,A
q64,B
q65,B
q66,C
q67,D
q68,A
q69,B
q70,B
q71,C
q72,D
q73,A
q74,B
q75,B
q76,C
q77,D
q78,A
q79,B
q80,B
q81,C
q82,D
q83,A
q84,B
q85,B
q86,C
q87,D
q88,A
q89,B
q90,B
