q1,C
q2,D
q3,A
q4,B
q5,B
q6,C
q7,D
q8,A
q9,B
q10,B
q11,C
q12,D
q13,A
q14,B
q15,B
q16,C
q17,D
q18,A
q19,B
q20,B
q21,C
q22,D
q23,A
q24,B
q25,B
q26,C
q27,D
q28,A
q29,B
q30,B
q91,C
q92,D
q93,A
q94,B
q95,B
q96,C
q97,D
q98,A
q99,B
q100,B
q101,C
q102,D
q103,A
q104,B
q105,B
q106,C
q107,D
q108,A
q109,B
q110,B
q111,C
q112,D
q113,A
q114,B
q115,B
q116,C
q117,D
q118,A
q119,B
q120,B
q61,C
q62,D
q63,A
q64,B
q65,B
q66,C
q67,D
q68,A
q69,B
q70,B
q71,C
q72,D
q73,A
q74,B
q75,B
q76,C
q77,D
q78,A
q79,B
q80,B
q81,C
q82,D
q83,A
q84,B
q85,B
q86,C
q87,D
q88,A
q89,B
q90,B
